        25,         0,         0,         1,         1,         1,         0,         1,         0,         2
         0,        23,         1,         2,         0,         1,         0,         0,         0,         2
         2,         0,        15,         1,         0,         0,         1,         2,         2,         0
         0,         0,         1,        17,         0,         3,         0,         1,         1,         2
         1,         0,         1,         0,        17,         3,         0,         1,         1,         0
         0,         0,         0,         0,         1,        16,         0,         0,         0,         1
         0,         0,         4,         0,         8,         2,        30,         4,         3,         1
         0,         3,         0,         4,         2,         3,         0,        29,         2,         8
         0,         0,         1,         0,         0,         1,         0,         1,        22,         3
         0,         0,         0,         1,         5,         0,         0,         3,         1,         9
