        24,         1,         3,         0,         2,         3,         0,         1,         2,         3
         1,        24,         1,         6,         0,         4,         0,         0,         2,         2
         0,         0,        15,         0,         0,         0,         1,         0,         1,         0
         1,         1,         1,        16,         0,         2,         0,         3,         3,         2
         2,         0,         1,         0,        21,         5,         4,         0,         0,         2
         0,         0,         0,         0,         1,        14,         0,         2,         0,         3
         0,         0,         1,         1,         4,         1,        25,         0,         0,         1
         0,         0,         0,         2,         0,         1,         1,        34,         0,         1
         0,         0,         1,         0,         2,         0,         0,         0,        23,         0
         0,         0,         0,         1,         4,         0,         0,         2,         1,        14
