         2,         0,         3,         0,         3,         0,         1,         0,         0,         3
         2,        23,         2,         7,         1,         8,         0,         3,         8,         4
         2,         0,         9,         0,         3,         3,         7,         0,         1,         2
         1,         2,         8,        15,         0,         9,         1,         5,         2,         1
        12,         0,         0,         0,        11,         1,         0,         0,         0,         0
         2,         0,         0,         0,         5,         0,         0,         7,         0,         2
         7,         0,         0,         0,         7,         2,        21,         0,         0,         1
         0,         0,         0,         1,         0,         1,         0,        17,         0,         0
         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0,         1,         1,         3,         4,         6,         1,        10,        21,        15
