      1663,        19,        66,        15,        41,        32,        18,         4,        99,        23
        17,      1879,         4,       100,        16,       137,         1,        24,        63,        71
        26,         4,      1579,        93,         1,        11,        42,        13,        25,         2
         5,        12,        40,      1503,         1,        30,         0,        68,        20,        19
        27,         2,        17,         2,      1473,        72,        55,        14,        22,        15
         4,        14,         3,        35,        64,      1211,         4,        83,         9,        55
         8,         0,        56,         2,        36,        23,      1609,        18,         2,         0
         0,         2,        19,        50,         2,        82,         4,      1680,        10,        22
        25,         6,        18,        10,        47,         5,         3,         0,      1440,        80
         5,         5,         9,        53,        62,        34,         2,        31,       121,      1452
