       234,        44,        37,        37,        20,        36,         8,         6,        73,        21
         3,       271,         4,        58,         5,        13,         0,        33,        12,        52
        12,         5,       216,        55,         0,         2,         5,         4,         5,         0
         0,         1,        10,       115,         0,         5,         0,        42,         4,         8
        42,         4,         6,         7,       190,        83,        44,        13,        35,         6
         0,         7,         0,         3,         8,        73,         1,        44,         2,        25
         6,         1,        29,         9,         6,         8,       241,         4,         3,         1
         0,         0,         1,        23,         0,         4,         1,       146,         0,         3
        12,         5,        10,         3,        10,        10,         3,         0,       141,        32
         1,         5,         3,         6,        25,        19,         2,        24,        19,       135
