         0,         6,         4,         6,         4,         5,         6,         3,         9,         5
         8,         7,         4,         9,         1,         7,         1,         1,         8,         3
         2,         1,         1,         1,         0,         2,         7,         4,         1,         4
         4,         0,         1,         3,         2,         6,         7,         1,         1,         5
         0,         9,         3,         3,         9,         2,         3,         5,         7,         2
         1,         2,         2,         1,         2,         1,         1,         5,         3,         0
         0,         0,         1,         0,         1,         2,         2,         4,         0,         5
         2,         0,         2,         0,         0,         2,         1,        10,         0,         0
         1,         1,         1,         1,         2,         1,         0,         1,         0,         0
        10,         0,         4,         2,        13,         2,         3,         8,         3,         4
