        15,         0,         4,         3,         3,         5,         2,         2,         0,         5
         3,        16,         2,         6,         1,         5,         0,         1,         2,         3
         1,         0,        12,         1,         1,         0,         1,         0,         1,         0
         0,         2,         2,         9,         0,         2,         1,         3,         0,         0
         6,         1,         0,         0,        15,         4,         5,         1,         1,         3
         2,         6,         0,         4,         4,        12,         1,         2,         0,         3
         1,         0,         2,         1,         3,         0,        21,         0,         2,         1
         0,         0,         0,         2,         1,         1,         0,        33,         0,         1
         0,         1,         1,         0,         3,         0,         0,         0,        21,         3
         0,         0,         0,         0,         3,         1,         0,         0,         5,         9
